~from,~to
25315,95525
64510,107826
56149,71134
131284,29929
48640,107068
48303,58714
61269,6735
103165,127870
140535,38780
78967,3354
2388,36754
34937,114423
16070,143582
56069,42061
140178,43292
18791,43292
122452,115267
47745,47745
82485,98184
134807,79005
101597,10408
47737,143667
60917,5377
106441,18051
77247,18051
12093,38161
123722,113710
7646,119987
33544,119987
4374,88802
32556,121538
132022,137144
62622,47362
77,49440
67540,84872
81475,41777
64297,9236
133063,136290
2177,136290
32881,59338
113558,86707
128610,44427
138805,33030
87797,73765
64322,124606
14323,14323
13336,14323
82715,82542
17190,108583
72981,64591
87351,1089
56974,19838
16068,30059
110969,12630
21660,126553
110116,126553
6780,7572
34209,7572
53422,31587
56316,31587
89614,29490
24030,138849
108572,123711
136206,86030
79578,100313
91093,143284
103795,9664
12456,53717
49036,42879
108542,70219
116234,38174
121275,63368
49206,112427
13335,73823
106853,129728
26320,117469
78174,114233
104032,114233
80834,114233
39205,130546
114711,107294
100937,35652
127370,47730
49857,9844
63725,4791
139311,102891
77,8622
63942,7637
28098,95189
101706,89503
94520,6015
24030,45426
28335,59899
33544,25676
20666,16725
35935,137872
109116,71758
45546,39036
117312,98398
102523,15003
16325,74928
132080,84278
82877,58684
39537,104837
32663,29578
18268,127072
29310,6015
58936,59899
10485,91988
44996,56776
46095,115102
102599,107033
115761,107033
88649,135439
92653,98219
64828,116346
109116,56794
16068,79686
33686,114062
32891,114062
127695,114062
99679,114062
76,27979
27309,126192
81454,126192
120496,77418
32820,69198
56817,104744
7925,98575
63445,44523
43655,129590
5006,104666
60917,3740
78057,23923
33736,52538
23327,50051
74930,47878
4515,76072
112838,96224
25855,7624
131415,54776
49190,64091
115270,51004
50906,16269
123561,16269
35448,86557
56974,95434
110264,106503
130828,110484
117820,86669
4862,50051
30634,88329
88398,42255
133145,127721
62589,127721
37953,134758
58936,141744
106204,31307
117797,122033
108733,39005
121519,106121
50299,109986
140766,1811
13742,127796
34499,87728
27537,10423
140489,24623
71555,24623
24290,81170
142146,81170
141532,3704
44994,46752
111685,134927
130808,101403
129,46749
76898,16864
126103,84974
42199,34369
87103,64888
107261,73440
109624,72821
113977,108336
72877,79966
61977,135613
139137,43585
139311,140555
5970,143067
6093,117968
33862,8320
138765,53062
21827,133040
27744,36409
18290,39266
28114,59373
59102,59373
13335,106105
20912,15909
4515,46859
84876,89079
18066,39374
79511,84554
69020,84274
131641,22619
32927,22619
35018,30475
56501,30475
13496,12223
30208,44275
83421,47295
142497,82335
56433,82335
15518,79278
21178,118195
73861,105214
112776,105214
133729,10715
68875,96859
108542,33286
81826,33286
85456,60690
133852,60690
100476,60690
45746,123234
134144,123234
86051,143683
138816,142967
10416,110200
143500,137438
84350,14640
115645,140757
63445,70736
57298,64183
1838,142463
84762,143125
58785,12299
7682,83691
98555,22646
84762,43942
13336,53007
133375,79572
77156,119876
51254,13151
39339,94535
11454,31060
30244,61992
631,21314
33760,129134
42389,50939
94520,136486
65167,6298
19157,102593
52816,30926
80472,126483
112840,140513
112805,98079
33300,17161
134925,105388
95593,72109
3709,41695
21767,139473
127226,57863
21556,4221
121152,35910
48801,44601
114576,31996
121750,93256
104340,22163
143183,103091
85456,61476
140178,61476
31141,15275
91151,2501
105854,57325
87224,76800
18759,137439
115761,53348
88254,91646
102523,44941
66148,95153
47843,60054
109544,81473
79082,63612
102523,71627
113802,31843
59047,6880
72119,19231
23519,2320
7443,112677
100983,143881
126749,102626
83717,38262
6109,37535
7611,112865
142146,134495
51959,142988
21263,54430
135155,67397
33406,103900
60917,18448
26867,87361
84063,99968
110116,99968
101706,38465
81826,87266
60917,45032
80472,26576
7905,98288
200,14500
132941,134912
4374,47253
57609,60189
125298,18691
86136,130424
4031,30319
42623,118287
110897,3554
124844,15041
82485,107012
87696,75683
49992,75683
15237,51096
102523,60965
87540,86233
104032,5780
126103,10962
127695,10962
134807,122822
54520,122822
113558,100355
21767,22534
48620,42153
34817,61478
30094,109648
1164,109648
71111,111241
66073,134645
110842,38019
131641,133262
14226,13287
101409,91408
46241,43364
106279,56817
82854,56817
9590,44941
16345,123907
137973,30613
31141,127174
110203,68970
78815,133262
43851,56817
63725,67880
125205,49786
58936,28651
98951,28651
50299,9756
102523,115975
18401,84583
55467,126158
39807,139229
112888,124512
133599,124512
15518,124120
142800,87302
30451,92400
128678,83822
113306,116633
45222,119034
81236,119034
110028,70852
138286,30236
46258,57607
77156,57607
100420,33035
75927,33035
88254,42515
76,24303
30634,18950
121638,27227
61585,113304
90028,128042
21939,93110
100550,93110
110454,93110
4862,47615
64048,26667
13128,132963
89999,63796
48624,124389
38897,109738
127695,81366
16725,96646
110842,70667
37478,20029
44013,137367
52816,4522
67489,4522
88073,18281
122104,100383
31545,100383
132190,65872
140937,26448
55033,73163
117393,125631
54843,117113
57581,134133
14226,97204
30240,9353
129,9353
127370,37075
53407,37075
90224,64840
134070,33069
113306,92964
26274,117617
96548,130836
39176,15282
70992,28167
93740,93740
11420,93740
95734,93740
79082,135270
46097,58384
92438,820
113306,86577
37953,74172
93292,6146
142399,9178
126833,27322
133729,67529
94609,67529
35018,19830
81849,135182
129177,29229
82541,29229
10607,58707
5821,36038
80182,36038
113008,115539
7443,72282
9116,14166
70486,70298
18925,46894
7925,28837
131415,134848
121029,30376
30244,54082
87103,54082
21767,39723
118092,106211
110897,29049
111856,97715
40428,54082
75646,120394
56433,120394
56073,120394
90722,120394
100937,20497
102095,28450
140489,104971
73901,138201
92129,130448
61269,48711
132022,140910
117365,115288
103428,77663
31897,124635
72877,124635
98791,124635
88729,96246
125298,34398
21040,141316
112044,46223
113980,32002
42389,17446
109624,76424
39537,113713
16177,50212
72328,18917
124016,18917
22559,74856
56316,79266
82120,112266
22432,45929
52886,58890
31020,58890
78504,58890
90767,79469
21767,132092
102523,64086
27126,37234
136111,4108
47719,4108
5733,137205
85367,87183
78970,8659
80150,131917
118164,14039
78967,121932
35126,21437
73901,90861
14438,69692
82324,14390
131935,14390
113306,11787
68334,30892
15518,54761
92438,54761
28829,81660
67796,88880
33862,62019
13496,98068
98181,99590
101655,10845
92653,104142
93406,69658
1711,26238
62589,26238
133145,21029
135211,61785
92584,134245
108928,134245
9590,130523
60213,66119
115645,118182
33544,16743
52899,30909
83156,42164
95822,92310
8002,42959
8766,51692
10607,124529
88254,124529
18401,124529
79082,44187
20270,143102
115221,125074
8752,5480
6742,97202
128655,38770
86136,26456
101858,140937
33829,39514
77688,66955
4703,87645
86136,124951
41133,102541
44517,102541
103444,109913
135322,109913
42389,38940
49249,136745
3642,136745
78057,130635
98791,7428
58178,22336
121416,120643
111336,120329
48607,22810
51463,110311
79794,120110
74659,75302
17273,100497
133787,139409
78716,112701
72527,23061
72119,125508
110203,120106
6422,131214
43457,28469
58102,104911
50036,142283
134944,128316
27196,87868
33026,87868
35018,117008
85456,62829
106623,62829
129966,62829
106623,75522
30208,36703
131078,79335
47719,79335
100984,121856
21484,40237
124823,99593
21556,11843
45746,45746
137698,123242
71251,22030
77156,98221
44483,17999
32247,51543
138007,126892
45088,86264
58801,56544
110170,139119
79696,69175
37692,117464
79082,53807
94090,20925
89416,39543
105683,34080
113405,45316
48303,79335
88025,51182
4862,25009
43971,83721
77855,132381
16435,132381
52308,132381
45179,49106
106279,140394
44606,88865
114495,81740
78426,22546
193,22546
70486,54273
93406,110651
79578,56839
51254,92989
141855,138722
82260,88395
32820,74151
113783,89471
42219,98693
133850,52931
125388,52931
36036,91086
122854,135322
98201,135322
48585,44932
121638,27196
64442,68380
131493,2440
57321,82490
16551,83456
49036,50831
99063,68654
132599,104733
118448,15562
79794,15562
77202,110886
18389,110886
140705,75395
26572,7449
10485,109117
92424,63579
138669,75675
112044,138448
55710,33092
94760,9278
117660,112947
45923,56534
51885,36216
101505,36216
129844,36216
112776,45930
80182,142580
99521,142580
106180,105412
79082,118746
80182,135123
53906,77115
93979,17494
61853,77793
4031,124965
66773,139138
98555,68358
138696,111034
49214,67912
51092,36456
2134,103394
67921,113753
134144,105023
74375,19977
20270,48701
35520,48701
110116,24178
118164,11527
80598,42609
46241,143311
103428,82068
33932,107889
70471,107889
107267,38191
81380,81380
84063,136296
60963,81330
32663,112541
50908,72609
32266,47785
138445,80456
38446,71822
91151,131052
97292,119781
116814,97737
34949,121802
26274,105122
70486,105122
77855,132884
128916,60995
134049,3281
78970,85683
60963,74068
57887,44019
54115,128039
79269,126614
48303,15432
57887,44904
77688,775
64048,62010
27126,7610
54659,7610
33862,7610
68410,57527
83253,74068
33736,15432
112888,44169
70040,119862
11685,69841
79082,29755
51429,134334
62622,9337
112571,20310
75927,20310
65533,122142
16345,138473
22432,117570
20478,99264
45746,138172
30279,68741
120730,4725
95422,4725
85256,47649
34949,48238
19252,48238
109538,48238
20718,44819
129023,61386
109425,11649
111856,135692
123722,26191
8227,61106
105525,22804
101706,140654
22019,51819
92438,51819
37853,105434
34817,88542
44517,24970
68254,24970
49790,65618
21767,131944
66704,6126
84185,133785
43522,98015
37440,120788
137587,122142
24988,120737
16595,16892
68693,19067
99829,22168
28335,22168
55550,5851
9299,9299
71442,114368
48585,99093
89416,52185
61629,69076
44013,79279
134594,30740
89047,95623
51637,95623
80188,112604
65742,112604
4007,117549
98689,11086
115761,11086
33300,70402
57310,61092
59253,86367
132941,87655
125205,109027
97778,57486
21767,91997
53407,20945
63725,36218
112888,42771
73901,51087
44074,106997
40709,48812
27526,68988
31791,118431
70992,31453
109516,17053
67921,23019
102561,64505
116294,130449
48044,85767
68693,63918
83717,9141
70996,6156
106238,95712
90868,74296
75083,93576
39379,90930
22432,90930
50174,99
82957,143281
73901,60564
64510,101241
73901,121159
76572,128996
31107,49822
105525,101744
57578,25925
31484,126889
37996,110296
108644,88888
102889,86899
125298,138006
64510,24555
50142,109186
70992,139666
133787,111138
4400,11805
136419,76625
44517,94743
123022,94743
4304,84708
24517,97588
5361,75345
53290,14601
118092,141169
64483,95259
136320,81384
68203,4800
37197,22471
62613,22471
33673,100154
79466,65004
87696,9462
7980,92921
118092,65815
44631,101229
71482,71852
117229,71852
73901,18262
126596,24540
101820,28039
29990,100559
121275,13292
107496,21108
60525,18018
94264,21933
129844,74559
21259,37903
65298,60231
113783,127360
105525,58894
36061,14601
52246,52246
79578,53110
134144,58060
95573,58292
130492,68226
90682,121470
62015,49781
134049,70204
111618,87514
19394,128288
61184,44567
2177,72236
28829,31024
141802,49041
8979,65116
121416,89677
113306,89677
92438,131325
122898,54426
47852,10860
7124,129080
49507,87577
22006,89343
36549,89343
66374,108833
43851,44178
52816,58380
125298,90879
101355,52857
20270,84275
7443,137775
130987,98592
130986,98592
115513,9639
60342,75231
16725,121710
120525,63089
25895,115851
37012,4331
2717,12574
59864,105787
128323,15836
126000,46363
82309,17725
2390,22738
27126,23972
25713,23972
87097,42046
104032,60667
53064,144022
55960,107844
68410,104849
136320,86506
30634,86506
140414,115530
19526,141966
29535,93847
141782,31916
109574,27217
70763,143075
102561,123413
93488,35748
11654,15819
46535,71059
59720,11807
18066,18066
82260,43955
138696,45022
52217,73150
43371,87983
107452,28030
86807,4486
5944,6623
35935,70880
7682,109457
131167,127006
136320,53953
48502,61912
126000,107555
17427,76039
142645,63098
120794,109009
84006,113352
37996,114537
2365,27105
98793,27105
35992,45791
43371,113167
31107,119301
108325,133475
33544,59519
80472,84708
67026,56021
42219,116359
60179,143754
109574,126983
83717,1122
98951,136190
59899,58277
71985,58277
17863,100873
52816,113752
69347,75988
13756,50140
45222,50140
111509,45759
17995,126149
3014,138000
140766,25345
105525,110330
33738,106530
41228,2170
75727,44708
23519,7512
39769,116902
97431,86311
37440,100924
58785,69037
101706,17235
68924,77272
51092,119315
34056,47299
92010,18350
8227,120470
15811,132399
5382,80198
142497,77037
122452,18802
19305,102024
141616,22834
55446,136089
135309,125173
137038,55264
135531,25766
110897,130256
120794,4954
98555,88872
72877,115576
14472,124438
90224,115863
92438,47388
53426,134901
140535,102666
58785,18004
126731,121000
129844,72064
87696,114187
88254,107518
66148,20278
47737,132953
119688,74920
51885,83493
102398,42281
95593,95547
109116,133365
35016,70777
119605,79941
85931,52679
48840,94603
55973,103071
125968,118731
95593,62202
24517,98413
79511,13922
133570,3988
81475,45925
113980,100595
52061,104025
133375,87674
13336,19236
55973,47409
54115,140153
103428,55768
17499,31923
43371,23553
10387,122484
31020,50067
49190,31365
33738,42480
42840,84486
60255,7136
62589,40310
115919,46334
23923,12549
48139,124183
94774,49677
80472,7008
128655,77488
21767,41649
133599,75460
115106,94609
50908,11645
125337,97142
142310,97142
50906,84355
112762,85761
77688,85761
131796,38965
16725,112956
112044,119647
115919,119647
33701,119647
49574,119647
84986,113841
131050,129317
55765,45379
81236,45379
118871,137472
84232,93322
13941,93322
94520,75417
36251,40187
20270,40187
3709,68328
99429,99852
17995,122227
15741,50776
137832,17813
112762,129202
135322,69460
110021,134390
24790,126608
122452,36354
132803,111244
24290,10282
102889,122092
11454,133767
75307,8924
116234,29070
73901,26286
21178,3621
112805,31668
59047,31668
99302,90545
50906,121309
140178,34856
25071,66632
129177,43574
115064,8133
91721,25035
107067,54861
66148,71075
67858,122391
135226,48384
133787,79834
45088,75786
68945,100789
102523,86771
119122,11952
54949,132841
112961,29344
28317,54665
56169,93729
126326,96015
40428,29831
55973,58399
112044,94188
85281,13679
103428,51762
62015,141963
6337,98375
106398,141187
43131,115148
136320,91164
40491,124365
52816,140146
33736,99994
4374,112298
14309,93484
135531,23277
38202,8896
109743,8896
78716,8896
7682,141825
33089,117954
21305,86356
93858,31668
74648,53613
78174,16667
28317,113175
126492,104437
54209,97685
84876,18022
129,88886
32247,115676
76611,113106
27172,113106
99204,53728
112666,37498
13294,37498
92438,25042
90224,67926
99069,52733
52899,98907
5382,116136
143317,57306
22432,70117
101858,47041
39413,47041
123173,6632
36538,37317
10534,34238
34377,75452
58422,98755
96912,11742
69615,51909
103206,52696
120810,53728
55672,81524
79972,55750
63811,55750
107261,57177
43460,112774
92349,36390
75083,85849
104032,53523
93177,89603
76386,53890
88398,53890
28098,144067
67602,70313
111856,42964
51451,133565
63445,107621
54120,47000
43371,37674
7124,88193
60587,41294
8766,37852
106180,37852
98221,123800
66678,38586
27576,101288
93118,19785
82260,15711
43371,16981
41832,85182
28317,41403
8926,74
38709,52269
75574,130797
80598,59917
46719,18722
69175,117312
47737,102269
4725,63786
1164,92807
92265,116856
72784,75026
92349,107567
129180,16213
116732,134662
49982,90669
76386,78914
21767,70304
131050,4619
127033,43631
33300,40030
51451,18491
138816,18491
11405,65560
137038,117896
55550,10529
303,41047
43228,59824
61853,92517
141616,125545
52816,67234
21660,60704
15920,25646
78716,87128
23313,43388
65218,68293
59755,104493
48801,98842
138286,98842
43228,58612
9849,26846
90042,33435
35569,33435
15811,33435
131493,33435
24848,29679
124202,7916
73861,91154
70486,134795
25018,136347
59720,75973
120772,59353
28829,32277
137973,8481
90499,50103
52886,24477
88664,24477
44074,83058
131924,45663
52286,18223
83977,98675
79794,429
138437,28223
48784,28223
99708,27042
33300,108110
18925,29027
36549,20632
61745,17927
112776,80691
21767,19019
43638,11492
58785,133429
48396,18141
57581,126064
79578,96115
42219,29970
130176,10162
49891,113643
90502,33543
139286,113471
110359,103398
17320,44935
113872,87068
61977,58039
29981,58039
53087,63656
97923,42986
93118,93118
88254,94810
120794,140570
66445,54925
38897,54925
77247,27780
75035,27780
35569,138340
135220,138340
28814,22483
58801,4837
110665,141930
138114,116651
90607,42797
80472,29532
50317,62042
124016,62042
26320,71845
102523,39091
84762,7227
126492,30310
5733,3667
7368,135660
76813,44056
50299,88065
81236,128744
49857,57202
43851,28737
61269,68135
79057,18763
95822,83679
11685,17914
138114,32381
143804,18139
45546,32214
101505,129060
20303,129060
55765,46480
78967,108223
10603,23608
114495,77374
16345,77374
107267,87817
125317,116531
85256,73000
119434,230
128447,68418
32056,35331
96548,2852
84350,92761
129966,60975
121638,97621
23519,107350
62153,70875
60963,80833
18759,67791
131729,53457
11645,61172
111336,100039
98181,136355
136351,23372
61793,2235
89416,71038
98181,110211
61269,104709
86252,126789
82260,126789
81454,73529
5733,18383
109743,95195
117111,115103
76813,21803
49857,90542
33736,48944
123694,77717
92424,21549
90033,85072
72240,4210
141782,64880
5944,128453
62622,82622
126833,82622
53422,48261
45222,142998
31974,142998
55765,86662
94477,60913
7124,60913
27744,119697
136419,54934
88254,45443
4727,73943
11685,93957
128610,28447
13608,28920
72297,107866
58605,69260
4031,35331
61807,55775
131167,43425
15295,106872
65167,77890
67253,92888
4727,55790
118092,140740
12452,140740
85648,140740
40491,66021
48620,3192
114113,17170
22519,9553
16725,133076
43338,132028
141349,142959
104804,46467
139006,106879
78716,73446
57887,81962
30240,112581
20755,125342
29137,21403
20755,61639
1577,50260
42025,79055
117229,71833
45746,133859
47719,133859
30832,13884
128908,25306
19719,95304
71653,81411
120794,133806
41228,136086
18925,161
20832,86268
23550,116963
48303,116963
50317,28263
79794,28263
113986,12816
118448,59477
32239,140260
56169,83806
97308,92012
105631,67439
115645,65903
58801,106460
16725,25112
65712,6450
10485,110111
95422,16579
62589,91378
117053,134817
2177,134817
73829,130924
7443,133046
73570,126352
68362,109020
69314,39865
4718,54953
62496,43330
25445,5489
66926,102349
4703,89614
98791,130648
19157,76297
20269,42961
110102,30752
116234,25914
126492,100942
109879,43437
106731,33110
66704,94943
137695,92781
30240,70750
45088,10424
103444,124602
79696,83231
141782,58214
20718,30311
46977,21107
90567,69561
119218,135898
92655,135898
13855,23355
87696,141047
118125,109500
68011,109500
134815,32340
25676,97357
111685,101407
11781,101407
58422,135898
103606,28022
117919,68591
5051,84631
56735,73005
54115,74416
60963,144060
3770,34525
72367,133060
117919,132344
136419,42314
55710,5544
68362,142406
27309,128232
109275,77856
21484,94822
105683,94822
70549,83981
29535,83981
33026,38592
72981,48365
84762,94866
7443,21812
54120,96432
123236,100128
51429,75742
51639,139394
97574,65193
27126,43610
51429,43610
103428,82407
26572,143901
118285,70479
43937,27275
21994,71866
18759,54405
126444,98880
33736,65660
107496,74912
70992,95642
135417,20267
91151,36383
141487,33922
140047,133263
94264,71493
104032,55925
111336,125369
110759,103821
114495,109520
58233,58233
103428,137056
34961,39714
140937,20289
115761,15187
29715,71272
55550,72591
133599,78742
84876,49130
70392,52662
115064,52662
57321,126881
61269,63044
79578,85449
50580,81741
31734,119153
104834,99583
107452,134216
105364,109408
94264,33969
143313,12030
91257,65768
18925,44202
19519,19392
88254,97122
6212,14355
117797,119985
101858,131872
6422,88194
64433,78523
100942,128283
56379,23163
117111,124342
64578,23823
136320,51286
34817,65438
39339,139812
51463,48640
86136,83129
98181,125091
94216,59156
7925,126689
130978,81785
110632,105581
61269,34988
5827,50383
21497,34625
84457,13866
121568,13866
46509,140651
115715,140651
118966,140651
143872,137445
137973,11709
82147,125956
113175,61781
10485,37708
90887,12639
133787,39402
13377,59703
3770,118166
132952,137451
72240,59113
83421,12541
30634,12541
140047,128948
72487,85882
21305,29750
19252,45686
128034,28021
135226,134603
125298,53030
65587,33093
136419,5251
62589,138800
89913,61086
11420,24358
120129,24358
108509,115491
64972,7632
126000,43091
105683,5554
6160,26852
43935,3977
79511,3977
10603,38457
86136,38841
133375,139938
82485,25014
114431,131245
31192,8102
90042,45253
123561,105515
5006,131522
7293,10619
31707,97778
41507,93776
52816,54154
55710,43974
24988,98940
99708,94332
82877,106948
59899,57887
29705,63172
107496,21838
121519,60012
107261,143120
39769,87766
19904,7653
116732,83869
33686,115808
95822,115808
24789,47752
85809,15792
88254,107426
94774,135899
141487,85218
96969,109608
63521,8541
112805,42846
41573,57143
134840,124970
81236,75146
143526,95353
5006,128147
110759,115710
106440,45073
84762,11014
117563,100671
126000,18809
103444,87034
94652,24855
57210,111487
19076,49774
138286,63363
18401,63363
27126,55074
115227,112979
27526,7705
44996,38617
66837,38617
37518,109697
138007,33178
60255,136504
9589,112661
107481,58419
55550,142762
25895,106974
51637,110154
52816,90094
82715,133941
48168,22097
23114,142421
5850,142421
131084,114562
63811,8106
7124,41634
77401,135263
53768,135263
62496,4902
32056,85827
93098,82418
67438,106382
7293,18599
122988,84842
109624,94920
4304,73176
112163,73176
140705,21139
95823,136906
112838,64698
23313,101437
94216,71324
6212,51994
95861,86588
19252,90951
26274,121207
130078,121207
56496,121207
87976,10449
103676,73810
105152,135882
127551,128695
13377,15198
110897,63682
28098,125336
98583,125336
18220,58719
7925,138757
53543,65707
18401,23400
94028,86840
78815,3813
109516,3813
103795,57094
78716,20234
26320,8921
136267,107249
112035,67332
126375,120324
98421,67036
106180,103017
118536,95958
110897,38249
41832,100315
138669,34655
103606,28291
34009,20053
8150,83745
20270,86587
74930,7224
59956,7224
98221,39852
49108,3085
38446,18123
20718,47970
115910,124007
76,73643
121152,76979
133570,113301
3709,113301
113877,109516
20165,109516
136019,55758
110897,79616
88254,78534
89999,3492
57887,7129
10485,108989
85256,108271
136351,141377
53087,93945
59253,24233
62589,9574
98911,95733
23175,32638
128908,89145
102369,61362
77202,51594
66704,54283
94073,89145
105882,109904
109116,111286
125298,35467
11384,120547
112615,113564
115064,29880
45179,34726
52437,90742
55140,4487
114431,15473
141616,134469
16325,140247
142878,48052
21767,113433
47745,6487
87224,1536
118092,106103
51429,5920
76386,18109
6780,94270
125298,17862
133522,21661
21767,116291
56316,99844
110632,47981
111763,53149
57064,57606
92424,57606
31897,87214
117919,118312
92361,85312
111763,89292
141652,2819
138696,62573
133742,97286
15518,97286
78967,83229
53690,3438
93502,109881
33544,25336
114818,39712
37158,25185
50934,54507
99480,62126
73436,112292
15666,41354
74754,41354
94862,60084
110897,33125
19076,75887
20303,23267
121275,128985
107496,11447
130791,440
105091,84447
138728,33313
121397,91983
59534,57376
61629,6370
100728,14036
7925,67487
125968,66897
127036,66897
95734,87214
113790,82282
77247,57443
121416,127089
17190,127638
94404,57376
32663,137049
22432,66897
85240,43155
43228,140468
49574,140468
12807,95297
84762,133221
68756,77894
21939,73441
27962,46721
37953,100725
13377,112921
29965,36700
13496,81256
34733,115535
23923,100059
48640,100059
85456,45156
123173,45156
67540,88448
126326,617
79082,4855
62622,71916
68410,2190
123722,14199
127855,49895
82705,127036
55550,75783
110170,34930
33760,88813
58102,122445
131167,5537
29981,121402
808,56003
123937,18367
93287,124088
136376,53517
39413,107928
36213,36525
21179,40611
69411,27299
121638,39490
110207,70503
98689,66850
128655,66850
76512,139682
82222,139682
88729,6265
6780,142417
24281,123710
67026,90795
125298,14827
133145,26835
70763,126403
3368,93264
27126,104641
102398,46884
102523,21611
57216,22814
16345,32494
137667,99756
33760,99756
81978,99756
28814,30209
65742,32350
88254,14463
29620,102050
35018,22573
6160,51267
76611,76532
143804,110583
79082,100539
121638,101170
113405,15455
137038,8903
34949,80556
200,50806
17190,27379
47714,76949
132080,53740
34897,133081
23128,123964
24789,53048
107452,36829
2390,139852
116897,27713
121275,39015
5361,39015
49891,81321
103676,91761
118092,15053
46222,69848
95683,91232
127370,63686
43994,43994
62190,137653
47063,119955
18290,41895
41228,79662
75161,111876
26867,111876
8926,67019
47714,75946
11454,65151
72119,129111
119100,81724
7100,552
94090,111141
141782,9382
107548,132796
32266,102025
88398,128732
30208,29092
48784,119849
57887,68356
78716,1587
133699,1587
53779,25670
58801,137592
12377,124936
42623,64433
84640,5080
137349,83181
20805,91319
122898,128333
127855,59509
118092,9632
13294,129323
72119,35573
60098,32760
44996,119691
56204,32179
51123,126274
78393,41502
111716,36256
25071,46656
66447,46656
23519,53787
86652,125678
27126,30677
30016,80960
142732,33931
103795,64577
43655,63868
79578,93130
92653,9768
105705,23829
85688,139937
142878,8110
20270,97761
30634,97761
58801,494
141487,100571
16068,88256
101120,2333
103428,115075
24790,13054
87868,105485
86755,12144
83548,97855
8150,73579
3035,31528
15811,58831
79082,1538
3736,110744
110971,34995
61269,71093
107267,134947
108688,125256
96912,53418
43638,131822
102590,118081
94688,118081
128365,58623
136267,58623
108688,130872
95734,14052
102523,79829
98390,113976
43321,62733
72862,128511
116234,27034
132022,6533
142878,21374
96227,28027
52437,141912
46535,76761
118871,4919
51885,132970
103428,143896
59755,9454
102930,28467
114495,10640
48620,123931
17499,35398
98555,72330
89215,54026
110102,54026
78393,35540
133570,11161
141509,13849
21668,905
79696,905
137889,90572
67761,84096
96890,39577
21263,89028
39545,89028
92424,34748
57887,107527
57887,130756
5733,76823
68945,18556
27126,106379
73901,24118
117660,126746
107794,131700
73901,61188
33686,6670
88254,64503
83646,133084
18759,140206
87696,19728
121152,35164
116294,122269
54520,56090
66148,1341
34961,78570
65167,127620
105683,16643
9590,34353
32239,30655
4031,79456
23327,95302
138998,131629
58936,68283
36762,91355
2390,99610
23378,22174
63914,21950
107067,104188
49036,113013
1087,67007
131167,55291
95822,37788
33862,89015
124625,5046
82485,125926
32056,76320
85256,111497
54372,95946
85256,47929
76512,105827
84876,133439
2442,135131
65786,25631
18578,101906
29965,77207
110102,11678
18389,55514
68693,126745
61519,63551
19252,72145
142660,33622
42219,12050
76335,53351
18949,101670
2717,137864
35018,24561
15100,85071
4374,115515
123,100414
33917,1359
31192,104745
69615,108840
30244,35236
125298,131302
85256,5282
21556,8578
32883,61980
105636,18467
78426,133157
134925,53420
7124,114476
70992,18606
142604,143879
90028,99697
58178,99697
60951,141428
105525,43837
81155,15967
12456,79189
103676,91633
135220,30959
93177,14011
1748,18431
82957,24586
85256,27694
22432,111533
88254,129037
76515,71210
81236,73965
72240,29405
31162,139296
96899,33540
105525,29102
137973,17609
21767,48449
110897,58970
7646,72391
91093,5446
6333,126122
122648,22029
107794,130899
82485,119685
62496,121417
59102,15772
102523,117772
20718,115001
120309,30753
17443,18585
43655,96179
78716,131924
87797,79890
45540,58209
25855,58209
72877,58209
66148,143115
74760,33560
60963,65118
32927,74318
137973,84449
35935,64659
33026,122129
47140,101332
33544,3206
56149,90609
63811,62574
51639,51639
135819,69566
21767,51210
34949,77981
110170,37547
94216,69416
63467,101332
76386,31485
123722,3234
68254,142951
78716,47854
98689,47854
92010,47854
6109,48303
25166,78050
62553,14524
29310,14524
133145,80420
126492,94360
61671,130614
21263,50711
130494,42774
20755,63951
106325,100870
125968,100870
12452,100870
12377,37539
93740,118003
53050,143816
118092,41811
60667,131402
7124,52313
27126,101180
84762,117173
123022,57658
79511,110601
99851,79799
5503,79799
106290,79799
113306,79799
28198,77391
135226,77391
36251,77391
79082,77391
137973,115472
115270,111347
20617,1315
79696,13973
115386,109731
85256,89894
18401,137004
30244,29571
45179,56522
103245,93008
140047,109095
4718,7518
109425,7518
78815,25121
79477,17952
125298,134381
64483,21018
21660,240
8926,126368
136437,56686
99063,32437
60179,107338
143500,113422
103245,80543
47719,68877
19305,58606
20832,41495
73901,87373
33300,47395
78967,1253
68756,130799
53347,66128
24030,99991
38157,62193
84063,35383
36061,35383
117919,132907
88398,132907
88254,69726
107067,69726
77,34106
68203,5411
20270,39784
72119,91172
110170,60639
87084,34209
61087,34209
17443,59514
21305,119468
108882,4145
59820,34512
11685,35742
87673,94433
92438,94433
135226,129119
41228,115900
138281,115900
29715,133819
105525,51726
83421,52701
3035,12811
62079,40357
61269,62655
94510,121271
110170,108205
102716,23711
117797,129328
60686,101546
2331,110828
19604,107353
19526,133266
140013,85088
33675,82873
87797,53488
115761,23947
115715,117076
29715,31680
51959,33927
77156,6767
25451,76105
46258,20442
29705,20442
24721,92388
124844,135763
113630,117143
13377,90223
11454,130516
17443,118519
88398,118391
142878,82884
102523,107685
84185,89184
61269,55889
126103,55889
50640,111398
117429,111398
104032,131361
87696,134162
33544,80587
61087,26426
76215,97624
30208,125046
23128,49944
92655,35750
27126,108743
50173,36728
89508,101506
64048,65559
122700,134993
110203,38020
117895,129708
98181,8047
115919,7100
19719,126603
3916,67355
78393,51610
4222,71972
999,71972
